ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
251-V	HSK 1	爱	ài	to love; love	我爱你 - wǒ ài nǐ - I love you<br>我爱吃中国菜 - wǒ ài chī zhōngguó cài - I love Chinese food<br>妈妈很爱我们 - māma hěn ài wǒmen - Mom loves us very much<br>我爱我的家人 - wǒ ài wǒ de jiārén - I love my family<br>他很爱学习 - tā hěn ài xuéxí - He loves studying	emotion,daily	[sound:hsk1_爱.wav]
282-V	HSK 1	吧	ba	suggestion particle	走吧 - zǒu ba - Let's go<br>好吧 - hǎo ba - Alright<br>我们去吧 - wǒmen qù ba - Let's go<br>是吧 - shì ba - Right?<br>算了吧 - suàn le ba - Come on, forget it.	grammar,daily	[sound:hsk1_吧.wav]
148-V	HSK 1	八	bā	eight	八个人 - bā ge rén - eight people<br>八点 - bā diǎn - eight o'clock<br>八十 - bāshí - eighty<br>八号 - bā hào - the eighth<br>八月 - bā yuè - August	number,daily	[sound:hsk1_八.wav]
243-V	HSK 1	爸爸	bàba	dad	我爸爸是老师 - wǒ bàba shì lǎoshī - My dad is a teacher<br>爸爸，你回来了！ - bàba, nǐ huílai le! - Dad, you're back!<br>爸爸每天开车上班 - bàba měitiān kāichē shàngbān - Dad drives to work every day<br>爸爸做的饭很好吃 - bàba zuò de fàn hěn hǎochī - Dad's cooking is delicious<br>我想我爸爸了 - wǒ xiǎng wǒ bàba le - I miss my dad	family,daily	[sound:hsk1_爸爸.wav]
152-V	HSK 1	百	bǎi	hundred	一百块钱 - yì bǎi kuài qián - a hundred yuan<br>两百多人来了 - liǎng bǎi duō rén lái le - More than two hundred people came<br>这件衣服三百块 - zhè jiàn yīfu sān bǎi kuài - This piece of clothing costs three hundred yuan<br>我跑了五百米 - wǒ pǎo le wǔ bǎi mǐ - I ran five hundred meters<br>几百年的历史 - jǐ bǎi nián de lìshǐ - Several hundred years of history	number,daily	[sound:hsk1_百.wav]
1857-V	HSK 1	白天	báitiān	daytime; day	白天很热 - báitiān hěn rè - It's hot during the day<br>我白天工作 - wǒ báitiān gōngzuò - I work during the day<br>白天他在公司 - báitiān tā zài gōngsī - He's at the office during the day	noun,time,daily	[sound:hsk1_白天.wav]
457-V	HSK 1	半	bàn	half	等我半个小时 - děng wǒ bàn ge xiǎoshí - Wait for me half an hour<br>我吃了半个西瓜 - wǒ chī le bàn ge xīguā - I ate half a watermelon<br>一个半小时 - yí ge bàn xiǎoshí - One and a half hours<br>现在是三点半 - xiànzài shì sān diǎn bàn - It's half past three<br>半夜我被吵醒了 - bànyè wǒ bèi chǎo xǐng le - I was woken up in the middle of the night	quantity,time	[sound:hsk1_半.wav]
040-V	HSK 1	包子	bāozi	steamed stuffed buns	吃包子 - chī bāozi - Eat baozi<br>肉包子 - ròu bāozi - meat buns<br>早上我吃包子 - zǎoshang wǒ chī bāozi - In the morning, I eat baozi<br>菜包子还是肉包子？ - cài bāozi háishi ròu bāozi? - Vegetable baozi or meat baozi?<br>包子很便宜 - bāozi hěn piányi - Baozi are very affordable	food,cooking,daily	[sound:hsk1_包子.wav]
304-V	HSK 1	杯子	bēizi	glass; cup	你的杯子在桌子上 - nǐ de bēizi zài zhuōzi shàng - Your glass is on the table<br>这个杯子是我的 - zhège bēizi shì wǒ de - This glass is mine<br>杯子里还有水吗？ - bēizi lǐ hái yǒu shuǐ ma? - Is there still water in the glass?<br>小心，杯子很烫 - xiǎoxīn, bēizi hěn tàng - Careful, the glass is hot<br>我打碎了一个杯子 - wǒ dǎsuì le yí ge bēizi - I broke a glass	noun,object	[sound:hsk1_杯子.wav]
1858-V	HSK 1	本1	běn	classifier: volumes; books; notebooks	这本书很好看 - zhè běn shū hěn hǎokàn - This book is great<br>我买了三本杂志 - wǒ mǎi le sān běn zázhì - I bought three magazines<br>你的本子在哪儿？ - nǐ de běnzi zài nǎr? - Where is your notebook?<br>这本课本太贵了 - zhè běn kèběn tài guì le - This textbook is too expensive<br>一本词典 - yì běn cídiǎn - A dictionary	noun,classifier,education	[sound:hsk1_本.wav]
1859-V	HSK 1	边	biān	side; edge	在这边 - zài zhè biān - On this side<br>路边有树 - lù biān yǒu shù - There are trees by the road<br>河边很漂亮 - hé biān hěn piàoliang - The riverside is beautiful	noun,position,direction	[sound:hsk1_边.wav]
498-V	HSK 1	病	bìng	illness; sick	他病了，今天不来上班 - tā bìng le, jīntiān bù lái shàngbān - He's sick, he's not coming to work today<br>你的病好了吗？ - nǐ de bìng hǎo le ma? - Have you recovered?<br>她生病住院了 - tā shēngbìng zhùyuàn le - She's sick and hospitalized<br>我感冒了，病得很严重 - wǒ gǎnmào le, bìng de hěn yánzhòng - I have a cold, I'm very sick<br>多喝水，病很快就好 - duō hē shuǐ, bìng hěn kuài jiù hǎo - Drink more water, you'll recover quickly	noun,health	[sound:hsk1_病.wav]
169-G	HSK 1	不	bù	not	不是 - bú shì - It's not true.<br>我不去 - wǒ bú qù - I'm not going.<br>他不喜欢咖啡 - tā bù xǐhuan kāfēi - He doesn't like coffee<br>今天不冷 - jīntiān bù lěng - It's not cold today.<br>不知道 - bù zhīdào - I don't know.	grammar,negation	[sound:hsk1_不.wav]
185-V	HSK 1	不客气	bú kèqi	you're welcome	不客气！ - bú kèqi! - You're welcome!<br>不客气，这是我应该做的 - bú kèqi, zhè shì wǒ yīnggāi zuò de - You're welcome, it's the least I could do<br>你太客气了，不用带东西 - nǐ tài kèqi le, búyòng dài dōngxi - You're too polite, you didn't need to bring anything<br>别客气，多吃点 - bié kèqi, duō chī diǎn - Don't be shy, eat more<br>不用客气，随便坐 - búyòng kèqi, suíbiàn zuò - Make yourself at home, sit wherever you like	greeting,politeness	[sound:hsk1_不客气.wav]
1860-V	HSK 1	不要	búyào	don't (imperative)	不要走 - búyào zǒu - Don't go<br>不要说话 - búyào shuōhuà - Don't talk<br>请不要在这里吸烟 - qǐng búyào zài zhèlǐ xīyān - Please don't smoke here	verb,negation,imperative	[sound:hsk1_不要.wav]
055-V	HSK 1	菜	cài	vegetables; dish	中国菜 - zhōngguó cài - Chinese food<br>点菜 - diǎn cài - Order a dish<br>这个菜很好吃 - zhège cài hěn hǎochī - This dish is very good.<br>买菜 - mǎi cài - Buy vegetables<br>今天吃什么菜？ - jīntiān chī shénme cài? - What are we eating today?	food,cooking,daily	[sound:hsk1_菜.wav]
046-V	HSK 1	茶	chá	tea	喝茶 - hē chá - Drink tea<br>我喜欢茶 - wǒ xǐhuan chá - I like tea<br>来一杯茶 - lái yì bēi chá - Give me a cup of tea<br>你喝什么茶？ - nǐ hē shénme chá? - What tea do you drink?<br>中国茶很有名 - zhōngguó chá hěn yǒumíng - Chinese tea is very famous	drink,culture,daily	[sound:hsk1_茶.wav]
451-V	HSK 1	唱	chàng	to sing	她唱歌唱得很好听 - tā chànggē chàng de hěn hǎotīng - She sings very well<br>你会唱中文歌吗？ - nǐ huì chàng zhōngwén gē ma? - Can you sing in Chinese?<br>我们一起唱吧！ - wǒmen yìqǐ chàng ba! - Let's sing together!<br>他在KTV唱了三个小时 - tā zài KTV chàng le sān ge xiǎoshí - He sang for 3 hours at the karaoke<br>别唱了，太晚了 - bié chàng le, tài wǎn le - Stop singing, it's too late	verb,leisure	[sound:hsk1_唱.wav]
082-V	HSK 1	超市	chāoshì	supermarket	去超市 - qù chāoshì - Go to the supermarket<br>超市买东西 - chāoshì mǎi dōngxi - Buy things at the supermarket<br>超市在哪儿？ - chāoshì zài nǎr? - Where is the supermarket?<br>这个超市很大 - zhège chāoshì hěn dà - This supermarket is very big.<br>超市几点关门？ - chāoshì jǐ diǎn guān mén? - What time does the supermarket close?	place,shopping	[sound:hsk1_超市.wav]
362-V	HSK 1	车	chē	vehicle	我坐车去上班 - wǒ zuò chē qù shàngbān - I take the car to go to work<br>你会开车吗？ - nǐ huì kāichē ma? - Can you drive?<br>前面的车太慢了 - qiánmiàn de chē tài màn le - The car ahead is too slow<br>我们到了，下车吧 - wǒmen dào le, xiàchē ba - We've arrived, let's get out<br>停车场在哪儿？ - tíngchēchǎng zài nǎr? - Where is the parking lot?	noun,transport	[sound:hsk1_车.wav]
001-V	HSK 1	吃	chī	to eat	我吃饭 - wǒ chī fàn - I'm eating<br>你吃什么？ - nǐ chī shénme? - What are you eating?<br>我想吃中国菜 - wǒ xiǎng chī zhōngguó cài - I want to eat Chinese food<br>你吃过北京烤鸭吗？ - nǐ chī guò běijīng kǎoyā ma? - Have you ever eaten Peking duck?<br>我不太喜欢吃辣的 - wǒ bú tài xǐhuan chī là de - I don't really like spicy food	verb,food,daily	[sound:hsk1_吃.wav]
032-V	HSK 1	穿	chuān	to wear (clothing)	穿衣服 - chuān yīfu - Get dressed<br>今天穿什么？ - jīntiān chuān shénme? - What to wear today?<br>她穿得很漂亮 - tā chuān de hěn piàoliang - She's very well dressed.<br>穿鞋 - chuān xié - Put on shoes.<br>天冷了，多穿点儿 - tiān lěng le, duō chuān diǎnr - It's cold, dress warmer.	verb,clothing,daily	[sound:hsk1_穿.wav]
210-V	HSK 1	出租车	chūzūchē	taxi	打车 - dǎ chē - Take a taxi<br>坐出租车 - zuò chūzūchē - Take a taxi<br>叫出租车 - jiào chūzūchē - Call a taxi<br>出租车在哪儿？ - chūzūchē zài nǎr? - Where is the taxi?<br>出租车很贵 - chūzūchē hěn guì - Taxis are expensive	transport,travel,daily	[sound:hsk1_出租车.wav]
094-V	HSK 1	大	dà	big	很大 - hěn dà - It's big<br>这个太大了 - zhège tài dà le - It's too big<br>你多大了？ - nǐ duō dà le? - How old are you?<br>北京很大 - běijīng hěn dà - Beijing is big<br>我哥哥比我大三岁 - wǒ gēge bǐ wǒ dà sān suì - My brother is three years older than me	adjective,daily	[sound:hsk1_大.wav]
526-V	HSK 1	打电话	dǎ diànhuà	to make a phone call	我给你打电话 - wǒ gěi nǐ dǎ diànhuà - I'll call you<br>妈妈给我打电话了 - māma gěi wǒ dǎ diànhuà le - Mom called me<br>你能打个电话给他吗？ - nǐ néng dǎ ge diànhuà gěi tā ma? - Can you call him?<br>我在开会，不能打电话 - wǒ zài kāihuì, bù néng dǎ diànhuà - I'm in a meeting, I can't make a call<br>等一下，我打完电话 - děng yíxià, wǒ dǎ wán diànhuà - Wait, let me finish my call	verb,communication	[sound:hsk1_打电话.wav]
560-V	HSK 1	大家	dàjiā	everyone	大家好，我叫小明 - dàjiā hǎo, wǒ jiào xiǎomíng - Hello everyone, my name is Xiaoming<br>大家都准备好了吗？ - dàjiā dōu zhǔnbèi hǎo le ma? - Is everyone ready?<br>大家一起去吃饭吧 - dàjiā yìqǐ qù chīfàn ba - Let's all go eat together<br>大家注意！ - dàjiā zhùyì! - Everyone, pay attention!<br>大家辛苦了 - dàjiā xīnkǔ le - Good work everyone	pronoun	[sound:hsk1_大家.wav]
286-V	HSK 1	到	dào	to arrive; to	到了 - dào le - Arrived<br>到北京 - dào běijīng - To Beijing<br>从家到学校 - cóng jiā dào xuéxiào - From home to school<br>到家 - dào jiā - Home<br>到时候 - dào shíhou - When the time comes	grammar,daily	[sound:hsk1_到.wav]
398-V	HSK 1	大学	dàxué	university	你在哪个大学？ - nǐ zài nǎge dàxué? - Which university are you at?<br>我明年上大学 - wǒ míngnián shàng dàxué - I'm starting university next year<br>北京大学很有名 - běijīng dàxué hěn yǒumíng - Peking University is very famous<br>大学生活很开心 - dàxué shēnghuó hěn kāixīn - University life is great<br>他大学毕业了 - tā dàxué bìyè le - He graduated from university	noun,study	[sound:hsk1_大学.wav]
316-V	HSK 1	大学生	dàxuéshēng	university student	我是大学生 - wǒ shì dàxuéshēng - I'm a university student<br>大学生放暑假了 - dàxuéshēng fàng shǔjià le - University students are on summer break<br>很多大学生打工 - hěn duō dàxuéshēng dǎgōng - Many students have part-time jobs<br>他是北大的大学生 - tā shì běidà de dàxuéshēng - He's a student at Peking University<br>大学生的压力很大 - dàxuéshēng de yālì hěn dà - University students are under a lot of pressure	noun,person,study	[sound:hsk1_大学生.wav]
177-G	HSK 1	的	de	possessive particle	我的书 - wǒ de shū - My books<br>好吃的 - hǎochī de - Delicious food<br>红色的苹果 - hóngsè de píngguǒ - A red apple<br>这是我买的 - zhè shì wǒ mǎi de - This is what I bought<br>新来的老师 - xīn lái de lǎoshī - The new teacher	grammar,daily	[sound:hsk1_的.wav]
474-V	HSK 1	第	dì	ordinal prefix	我是第一次来中国 - wǒ shì dì yī cì lái zhōngguó - It's my first time in China<br>他考了第二名 - tā kǎo le dì èr míng - He got second place in the exam<br>第三个路口往左拐 - dì sān ge lùkǒu wǎng zuǒ guǎi - Turn left at the third intersection<br>你住在第几层？ - nǐ zhù zài dì jǐ céng? - Which floor do you live on?<br>这是我第一次吃饺子 - zhè shì wǒ dì yī cì chī jiǎozi - It's my first time eating dumplings	grammar,quantity	[sound:hsk1_第.wav]
1861-V	HSK 1	店	diàn	shop; store	这家店的东西很便宜 - zhè jiā diàn de dōngxi hěn piányi - The stuff in this shop is cheap<br>附近新开了一家店 - fùjìn xīn kāi le yì jiā diàn - A new shop just opened nearby<br>这家店几点关门？ - zhè jiā diàn jǐ diǎn guānmén? - What time does this shop close?<br>我经常去那家店买东西 - wǒ jīngcháng qù nà jiā diàn mǎi dōngxi - I often shop there<br>那家店的老板很好 - nà jiā diàn de lǎobǎn hěn hǎo - The owner of that shop is nice	noun,commerce,place	[sound:hsk1_店.wav]
1862-V	HSK 1	点1	diǎn	point; a little; moment (time)	现在几点了？ - xiànzài jǐ diǎn le? - What time is it?<br>我有一点儿累 - wǒ yǒu yìdiǎnr lèi - I'm a little tired<br>八点半上课 - bā diǎn bàn shàngkè - Class starts at 8:30<br>点菜吧 - diǎncài ba - Let's order<br>能便宜一点儿吗？ - néng piányi yìdiǎnr ma? - Can it be a bit cheaper?	noun,quantity,concept	[sound:hsk1_点.wav]
427-V	HSK 1	电话	diànhuà	telephone	你的电话号码是多少？ - nǐ de diànhuà hàomǎ shì duōshao? - What's your phone number?<br>电话响了，快接！ - diànhuà xiǎng le, kuài jiē! - The phone is ringing, answer it!<br>我给你打电话你怎么不接？ - wǒ gěi nǐ dǎ diànhuà nǐ zěnme bù jiē? - Why didn't you answer when I called?<br>办公室电话坏了 - bàngōngshì diànhuà huài le - The office phone is broken<br>他正在打电话 - tā zhèngzài dǎ diànhuà - He's on the phone	noun,communication	[sound:hsk1_电话.wav]
190-V	HSK 1	电脑	diànnǎo	computer	用电脑 - yòng diànnǎo - Use a computer<br>我的电脑 - wǒ de diànnǎo - My computer<br>电脑坏了 - diànnǎo huài le - The computer is broken<br>买一台电脑 - mǎi yì tái diànnǎo - Buy a computer<br>笔记本电脑 - bǐjìběn diànnǎo - Laptop	technology,work,daily	[sound:hsk1_电脑.wav]
191-V	HSK 1	电视	diànshì	television	看电视 - kàn diànshì - Watch TV<br>电视节目 - diànshì jiémù - TV program<br>打开电视 - dǎkāi diànshì - Turn on the TV<br>关电视 - guān diànshì - Turn off the TV<br>电视剧 - diànshìjù - TV series	technology,leisure,daily	[sound:hsk1_电视.wav]
192-V	HSK 1	电影	diànyǐng	movie	看电影 - kàn diànyǐng - Watch a movie<br>我喜欢看电影 - wǒ xǐhuan kàn diànyǐng - I like watching movies.<br>电影院 - diànyǐngyuàn - Cinema<br>这个电影很好看 - zhège diànyǐng hěn hǎokàn - This movie is really good<br>去看电影 - qù kàn diànyǐng - Go to the movies	leisure,daily	[sound:hsk1_电影.wav]
092-V	HSK 1	电影院	diànyǐngyuàn	cinema	去电影院 - qù diànyǐngyuàn - Go to the cinema<br>在电影院看电影 - zài diànyǐngyuàn kàn diànyǐng - Watch a movie at the cinema<br>电影院在哪儿？ - diànyǐngyuàn zài nǎr? - Where is the cinema?<br>我们去电影院吧 - wǒmen qù diànyǐngyuàn ba - Let's go to the cinema<br>电影院很大 - diànyǐngyuàn hěn dà - The cinema is big	place,leisure	[sound:hsk1_电影院.wav]
248-V	HSK 1	弟弟	dìdi	younger brother	我弟弟今年十五岁 - wǒ dìdi jīnnián shíwǔ suì - My younger brother is fifteen this year<br>弟弟比我小三岁 - dìdi bǐ wǒ xiǎo sān suì - My brother is three years younger than me<br>弟弟在上中学 - dìdi zài shàng zhōngxué - My brother is in middle school<br>我和弟弟长得很像 - wǒ hé dìdi zhǎng de hěn xiàng - My brother and I look a lot alike<br>弟弟，快来吃饭！ - dìdi, kuài lái chīfàn! - Little brother, come eat!	family,daily	[sound:hsk1_弟弟.wav]
373-V	HSK 1	东西	dōngxi	thing; object	我去超市买东西 - wǒ qù chāoshì mǎi dōngxi - I'm going to the supermarket to shop<br>这些东西多少钱？ - zhèxiē dōngxi duōshao qián? - How much do these cost?<br>你的东西别忘了 - nǐ de dōngxi bié wàng le - Don't forget your things<br>东西太多了，拿不了 - dōngxi tài duō le, ná bù liǎo - There's too much stuff, I can't carry it all<br>这个东西是谁的？ - zhège dōngxi shì shéi de? - Whose is this?	noun,daily,shopping	[sound:hsk1_东西.wav]
