ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
5941-V	HSK 7-9	挨1	āi	to be next to; beside; to approach	挨 - āi - to be next to / beside<br>挨家挨户 - āijiā-āihù - from door to door<br>挨着 - āizhe - next to	verb,position,space	[sound:hsk6_挨1.wav]
5942-V	HSK 7-9	癌	ái	cancer	癌症 - áizhèng - Cancer disease<br>癌细胞 - áixìbāo - Cancer cell	noun,concept,health	[sound:hsk7-9_癌.wav]
5941-V	HSK 7-9	挨2	ái	to endure; to suffer	挨 - ái - to endure / to suffer<br>挨打 - áidǎ - to get beaten<br>挨骂 - áimà - to get scolded	verb,endure,action	[sound:hsk7_挨2.wav]
5943-V	HSK 7-9	爱不释手	àibúshìshǒu	to love something so much one cannot put it down	这本书我爱不释手 - zhè běn shū wǒ àibúshìshǒu - I love this book so much I can't put it down<br>这个玩具孩子们爱不释手 - zhège wánjù háizimen àibúshìshǒu - The children love this toy so much they won't let it go	noun,verb,action	[sound:hsk7-9_爱不释手.wav]
5944-V	HSK 7-9	爱戴	àidài	to love and respect; to cherish	爱戴的领导 - àidài de lǐngdǎo - A beloved and respected leader<br>爱戴的父母 - àidài de fùmǔ - Cherished parents	noun,verb,action	[sound:hsk7-9_爱戴.wav]
5945-V	HSK 7-9	挨家挨户	āijiā-āihù	to go from door to door	挨家挨户地访问 - āijiā-āihù de fǎngwèn - To visit from door to door<br>挨家挨户地宣传 - āijiā-āihù de xuānchuán - To publicize door to door	noun,verb,action	[sound:hsk7-9_挨家挨户.wav]
5946-V	HSK 7-9	暧昧	àimèi	ambiguous; vague; indeterminate	他们之间的关系很暧昧 - tāmen zhījiān de guānxì hěn àimèi - Their relationship is ambiguous<br>暧昧的态度让人看不懂 - àimèi de tàidu ràng rén kàn bù dǒng - His ambiguous attitude is hard to understand	noun,adjective,concept	[sound:hsk7-9_暧昧.wav]
5947-V	HSK 7-9	爱慕	àimù	to admire; to have feelings for someone or something	他对她心生爱慕 - tā duì tā xīn shēng àimù - He developed feelings for her<br>爱慕之情溢于言表 - àimù zhī qíng yì yú yánbiǎo - His admiration is written all over his face	noun,verb,action	[sound:hsk7-9_爱慕.wav]
5948-V	HSK 7-9	哀求	āiqiú	to beg; to plead in sorrow or despair	他哀求我帮他 - tā āiqiú wǒ bāng tā - He begged me to help him<br>不管怎么哀求都没用 - bùguǎn zěnme āiqiú dōu méi yòng - No matter how much you plead, it's useless	noun,verb,action	[sound:hsk7-9_哀求.wav]
5949-V	HSK 7-9	碍事	àishì	to be in the way; to be a nuisance	这个箱子放在这儿碍事 - zhège xiāngzi fàng zài zhèr àishì - This suitcase is in the way here<br>别碍事，让开 - bié àishì, ràngkāi - Don't be in the way, move aside<br>你不碍事，坐吧 - nǐ bú àishì, zuò ba - You're not in the way, sit down	verb,action	[sound:hsk7-9_碍事.wav]
5950-V	HSK 7-9	爱惜	àixī	to cherish; to take care of something or someone	要爱惜时间，别浪费 - yào àixī shíjiān, bié làngfèi - You should cherish time, don't waste it<br>爱惜自己的身体 - àixī zìjǐ de shēntǐ - Take care of your body	noun,verb,action	[sound:hsk7-9_爱惜.wav]
1730-V	HSK 7-9	癌症	áizhèng	cancer	预防癌症 - yùfáng áizhèng - cancer prevention<br>癌症治疗 - áizhèng zhìliáo - cancer treatment<br>癌症患者 - áizhèng huànzhě - cancer patient	health	[sound:hsk1_癌症.wav]
5951-V	HSK 7-9	艾滋病	àizībìng	AIDS; disease caused by HIV	预防艾滋病 - yùfáng àizībìng - To prevent AIDS<br>艾滋病的治疗取得了很大进步 - àizībìng de zhìliáo qǔdé le hěn dà jìnbù - AIDS treatment has made great progress	noun,concept,health	[sound:hsk7-9_艾滋病.wav]
5952-V	HSK 7-9	暗地里	àndìlǐ	secretly; in secret	他暗地里帮了我很多 - tā àndìlǐ bāng le wǒ hěn duō - He helped me a lot in secret<br>暗地里做手脚 - àndìlǐ zuò shǒujiǎo - To scheme behind the scenes	noun,adverb,concept	[sound:hsk7-9_暗地里.wav]
5953-V	HSK 7-9	安定	āndìng	stable; calm; peaceful	社会安定是发展的前提 - shèhuì āndìng shì fāzhǎn de qiántí - Social stability is a prerequisite for development<br>生活安定下来了 - shēnghuó āndìng xiàlái le - Life has settled down	noun,adjective,concept	[sound:hsk7-9_安定.wav]
5954-V	HSK 7-9	安抚	ānfǔ	to soothe; to calm; to comfort	安抚民心 - ānfǔ mínxīn - To calm the people<br>妈妈安抚哭泣的孩子 - māma ānfǔ kūqì de háizi - Mom comforts the crying child<br>他的话安抚了大家的情绪 - tā de huà ānfǔ le dàjiā de qíngxù - His words calmed everyone down	verb,action,emotion	[sound:hsk7-9_安抚.wav]
5955-V	HSK 7-9	案件	ànjiàn	legal case; court case	警察正在调查这个案件 - jǐngchá zhèngzài diàochá zhège ànjiàn - The police are investigating this case<br>这是一起重大案件 - zhè shì yì qǐ zhòngdà ànjiàn - This is a major case	noun,concept,action	[sound:hsk7-9_案件.wav]
5956-V	HSK 7-9	按理	ànlǐ	logically; according to established rules or principles	按理说 - ànlǐ shuō - Logically speaking<br>按理应该 - ànlǐ yīnggāi - Should be, logically	noun,adverb,concept	[sound:hsk7-9_按理.wav]
5957-V	HSK 7-9	安眠药	ānmiányào	sleeping pill; sedative	他吃了安眠药才能入睡 - tā chī le ānmiányào cái néng rùshuì - He can only fall asleep with sleeping pills<br>安眠药不能乱吃 - ānmiányào bù néng luàn chī - You shouldn't take sleeping pills carelessly	noun,concept,health	[sound:hsk7-9_安眠药.wav]
