ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
1098-V	HSK 4	啊	ā	exclamation particle; surprise (possible rising intonation)	啊？你来了 - a? nǐ lái le - Ah? You're here.<br>啊！太好了 - a! tài hǎo le - Ah! That's great!<br>啊？真的吗？ - a? zhēn de ma? - Ah? Really?	grammar	[sound:hsk1_啊.wav]
2174-V	HSK 4	爱情	àiqíng	love (romantic)	爱情故事 - àiqíng gùshi - Love story<br>他们的爱情很浪漫 - tāmen de àiqíng hěn làngmàn - Their love is very romantic<br>爱情电影 - àiqíng diànyǐng - Romantic film	noun,emotion,relationship	[sound:hsk4_爱情.wav]
2175-V	HSK 4	爱心	àixīn	love; compassion; kindness	有爱心的人 - yǒu àixīn de rén - A kind-hearted person<br>爱心捐款 - àixīn juānkuǎn - Charitable donation<br>他很有爱心 - tā hěn yǒu àixīn - He is very compassionate	noun,emotion,kindness	[sound:hsk4_爱心.wav]
2176-V	HSK 4	按	àn	press; according to	按门铃 - àn ménlíng - Press the doorbell<br>按时间 - àn shíjiān - According to schedule<br>按规定 - àn guīdìng - According to the rules	verb,preposition,action	[sound:hsk4_按.wav]
2177-V	HSK 4	安检	ānjiǎn	security check	过安检 - guò ānjiǎn - Go through the security check<br>安检口 - ānjiǎn kǒu - Security checkpoint<br>机场安检 - jīchǎng ānjiǎn - Airport security check	noun,travel,security	[sound:hsk4_安检.wav]
936-V	HSK 4	安排	ānpái	arrange; organize	安排时间 - ānpái shíjiān - Schedule time.<br>安排会议 - ānpái huìyì - Plan a meeting<br>工作安排 - gōngzuò ānpái - Work arrangement	verb,work	[sound:hsk1_安排.wav]
2178-V	HSK 4	按时	ànshí	on time; punctually	按时到达 - ànshí dàodá - Arrive on time<br>请按时来 - qǐng ànshí lái - Please come on time<br>按时完成 - ànshí wánchéng - Finish on time	adverb,time,punctuality	[sound:hsk4_按时.wav]
612-V	HSK 4	按照	ànzhào	according to	按照计划 - ànzhào jìhuà - According to the plan<br>按照要求 - ànzhào yāoqiú - According to the requirements	preposition	[sound:hsk1_按照.wav]
2179-V	HSK 4	白酒	báijiǔ	Chinese white spirit; baijiu	喝白酒 - hē báijiǔ - Drink baijiu<br>中国白酒很烈 - zhōngguó báijiǔ hěn liè - Chinese baijiu is very strong<br>一瓶白酒 - yì píng báijiǔ - A bottle of baijiu	noun,drink,alcohol	[sound:hsk4_白酒.wav]
2180-V	HSK 4	棒	bàng	great; awesome	太棒了 - tài bàng le - Amazing!<br>你做得很棒 - nǐ zuò de hěn bàng - You did a great job<br>棒极了 - bàng jí le - Fantastic!	adjective,evaluation,positive	[sound:hsk4_棒.wav]
2181-V	HSK 4	办公	bàngōng	work at the office	办公室 - bàngōngshì - Office<br>在家办公 - zài jiā bàngōng - Work from home<br>办公时间 - bàngōng shíjiān - Office hours	verb,work,office	[sound:hsk4_办公.wav]
